kanji_raw,reading,audio_field_raw,rank,population,map_html,map_empty_html,kanji,audio_filename,map_filename,map_empty_filename,lat,lon,geocode_query,prefecture
倉敷,くらしき,[sound:pronunciation_ja_倉敷.ogg],34,474.793,"<img src=""34_Kurashiki.png"">","<img src=""japan pref.png"">",倉敷,pronunciation_ja_倉敷.ogg,34_Kurashiki.png,japan pref.png,34.5850791,133.7719957,"倉敷市, Japan",岡山県
金沢,かなざわ,[sound:pronunciation_ja_金沢.mp3],35,463.583,"<img src=""35_Kanazawa.png"">","<img src=""japan pref.png"">",金沢,pronunciation_ja_金沢.mp3,35_Kanazawa.png,japan pref.png,36.561627,136.6568822,"金沢市, Japan",石川県
福山[ふくやま],ふくやま,[sound:oddcast-2976e04a-65618266-081995bc-0df8f763-04bc6243.mp3],36,461.268,"<img src=""36_Fukuyama.png"">","<img src=""japan pref.png"">",福山,oddcast-2976e04a-65618266-081995bc-0df8f763-04bc6243.mp3,36_Fukuyama.png,japan pref.png,34.4857039,133.3623097,"福山市, Japan",広島県
尼崎,あまがさき,[sound:pronunciation_ja_尼崎.ogg],37,459.717,"<img src=""37_Amagasaki.png"">","<img src=""japan pref.png"">",尼崎,pronunciation_ja_尼崎.ogg,37_Amagasaki.png,japan pref.png,34.7339783,135.4064015,"尼崎市, Japan",兵庫県
藤沢,ふじさわ,[sound:pronunciation_ja_藤沢.mp3],38,437.155,"<img src=""38_Fujisawa.png"">","<img src=""japan pref.png"">",藤沢,pronunciation_ja_藤沢.mp3,38_Fujisawa.png,japan pref.png,35.3388615,139.4909335,"藤沢市, Japan",神奈川県
町田,まちだ,[sound:pronunciation_ja_町田.mp3],39,431.525,"<img src=""39_Machida.png"">","<img src=""japan pref.png"">",町田,pronunciation_ja_町田.mp3,39_Machida.png,japan pref.png,35.5466803,139.4386999,"町田市, Japan",東京都
柏,かしわ,[sound:pronunciation_ja_柏.ogg],40,426.552,"<img src=""40_Kashiwa.png"">","<img src=""japan pref.png"">",柏,pronunciation_ja_柏.ogg,40_Kashiwa.png,japan pref.png,35.8676218,139.9756876,"柏市, Japan",千葉県
豊田,とよた,[sound:pronunciation_ja_豊田.ogg],41,422.511,"<img src=""41_Toyoda.png"">","<img src=""japan pref.png"">",豊田,pronunciation_ja_豊田.ogg,41_Toyoda.png,japan pref.png,35.0834524,137.156737,"豊田市, Japan",愛知県
高松,たかまつ,[sound:pronunciation_ja_高松.mp3],42,417.803,"<img src=""42_Takamatsu.png"">","<img src=""japan pref.png"">",高松,pronunciation_ja_高松.mp3,42_Takamatsu.png,japan pref.png,34.3425592,134.0465338,"高松市, Japan",香川県
富山,とやま,[sound:pronunciation_ja_富山.mp3],43,414.171,"<img src=""43_Toyama.png"">","<img src=""japan pref.png"">",富山,pronunciation_ja_富山.mp3,43_Toyama.png,japan pref.png,36.6957569,137.2136215,"富山市, Japan",富山県
長崎,ながさき,[sound:pronunciation_ja_長崎.ogg],44,409.305,"<img src=""44_Nagasaki.png"">","<img src=""japan pref.png"">",長崎,pronunciation_ja_長崎.ogg,44_Nagasaki.png,japan pref.png,32.7501611,129.8781002,"長崎市, Japan",長崎県
岐阜,ぎふ,[sound:pronunciation_ja_岐阜.mp3],45,402.742,"<img src=""45_Gifu.png"">","<img src=""japan pref.png"">",岐阜,pronunciation_ja_岐阜.mp3,45_Gifu.png,japan pref.png,35.4230949,136.7627526,"岐阜市, Japan",岐阜県
豊中,とよなか,[sound:chrome_cWtp8nPoAV.mp3],46,401.818,"<img src=""46_Toyonaka.png"">","<img src=""japan pref.png"">",豊中,chrome_cWtp8nPoAV.mp3,46_Toyonaka.png,japan pref.png,34.7811578,135.4699059,"豊中市, Japan",大阪府
宮崎,みやざき,[sound:pronunciation_ja_宮崎.ogg],47,401.591,"<img src=""47_Miyazaki.png"">","<img src=""japan pref.png"">",宮崎,pronunciation_ja_宮崎.ogg,47_Miyazaki.png,japan pref.png,31.9076334,131.4204022,"宮崎市, Japan",宮崎県
枚方,ひらかた,[sound:pronunciation_ja_枚方.ogg],48,397.596,"<img src=""48_Hirakata.png"">","<img src=""japan pref.png"">",枚方,pronunciation_ja_枚方.ogg,48_Hirakata.png,japan pref.png,34.8144363,135.6507278,"枚方市, Japan",大阪府
横須賀,よこすか,[sound:pronunciation_ja_横須賀.mp3],49,388.504,"<img src=""49_Yokosuka.png"">","<img src=""japan pref.png"">",横須賀,pronunciation_ja_横須賀.mp3,49_Yokosuka.png,japan pref.png,35.2814779,139.6719597,"横須賀市, Japan",神奈川県
