Kanji	Reading	Audio	Rank according to residents	Population_(2020)	Prefecture	Map	Map_zoomed	Map_empty
甲府	こうふ	pronunciation_ja_甲府.ogg	122	189.742	山梨県	122_Kofu.png	甲府_zoomed.png	japan pref.png
沼津	ぬまづ	pronunciation_ja_沼津.mp3	123	189.611	静岡県	123_Numazu.png	沼津_zoomed.png	japan pref.png
小田原	おだわら	pronunciation_ja_小田原.mp3	124	188.986	神奈川県	124_Odawara.png	小田原_zoomed.png	japan pref.png
鳥取	とっとり	pronunciation_ja_鳥取.ogg	125	188.614	鳥取県	125_Tottori.png	鳥取_zoomed.png	japan pref.png
安城	あんじょう	pronunciation_ja_安城.mp3	126	188.512	愛知県	126_Anjo.png	安城_zoomed.png	japan pref.png
上越	じょうえつ	pronunciation_ja_上越.ogg	127	188.119	北海道	127_Joetsu.png	上越_zoomed.png	japan pref.png
立川	たちかわ	pronunciation_ja_立川.mp3	128	187.089	東京都	128_Tachikawa.png	立川_zoomed.png	japan pref.png
豊川	とよかわ	chrome_cZpsgaBygi.mp3	129	184.659	愛知県	129_Toyakawa.png	豊川_zoomed.png	japan pref.png
和泉	いずみ	pronunciation_ja_和泉.mp3	130	184.634	東京都	130_Izumi.png	和泉_zoomed.png	japan pref.png
宇治	うじ	pronunciation_ja_宇治.ogg	131	179.783	京都府	131_Uji.png	宇治_zoomed.png	japan pref.png
習志野	ならしの	pronunciation_ja_習志野.ogg	132	176.306	千葉県	132_Narashino.png	習志野_zoomed.png	japan pref.png
日立	ひたち	pronunciation_ja_日立.ogg	133	174.635	茨城県	133_Hitachi.png	日立_zoomed.png	japan pref.png
出雲	いずも	pronunciation_ja_出雲.ogg	134	172.887	奈良県	134_Izumo-a2f8ee68ca205b2f0016425db41c477efee14544.png	出雲_zoomed.png	japan pref.png
鎌倉	かまくら	pronunciation_ja_鎌倉.ogg	135	172.821	神奈川県	135_Kamakura.png	鎌倉_zoomed.png	japan pref.png
浦安	うらやす	pronunciation_ja_浦安.ogg	136	171.424	千葉県	136_Urayasu.png	浦安_zoomed.png	japan pref.png
苫小牧	とまこまい	pronunciation_ja_苫小牧.mp3	137	170.234	北海道	137_Tomakomai.png	苫小牧_zoomed.png	japan pref.png
西尾	にしお	pronunciation_ja_西尾.mp3	138	169.127	愛知県	138_Nishio.png	西尾_zoomed.png	japan pref.png
佐倉	さくら	pronunciation_ja_佐倉.mp3	139	168.858	千葉県	139_Sakura.png	佐倉_zoomed.png	japan pref.png
弘前	ひろさき	pronunciation_ja_弘前.mp3	140	168.564	青森県	140_Hirosaki.png	弘前_zoomed.png	japan pref.png
小山	こやま	pronunciation_ja_小山.ogg	141	166.791	栃木県	141_Koyama.png	小山_zoomed.png	japan pref.png
磐田	いわた	chrome_aMuaUCHsqG.mp3	142	166.744	静岡県	142_Iwata.png	磐田_zoomed.png	japan pref.png
帯広	おびひろ	pronunciation_ja_帯広.ogg	143	166.690	北海道	143_Obihiro.png	帯広_zoomed.png	japan pref.png
高岡	たかおか	chrome_J0EZ1Xx1JG.mp3	144	166.513	富山県	144_Takaoka.png	高岡_zoomed.png	japan pref.png
新座	にいざ	chrome_NC1REYZWTJ.mp3	145	166.104	埼玉県	145_Niiza.png	新座_zoomed.png	japan pref.png
釧路	くしろ	pronunciation_ja_釧路.ogg	146	165.230	北海道	146_Kushiro.png	釧路_zoomed.png	japan pref.png
宇部	うべ	chrome_7BtxOkSpza.mp3	147	162.707	山口県	147_Ube.png	宇部_zoomed.png	japan pref.png
秦野	はだの	pronunciation_ja_秦野.ogg	148	162.579	神奈川県	148_Hatano.png	秦野_zoomed.png	japan pref.png
都城	みやこのじょう	pronunciation_ja_都城.mp3	149	160.736	宮崎県	149_Miyakonojo.png	都城_zoomed.png	japan pref.png
