Prize_Type,Year,Laureate,Laureate_img,Rationale,Birth_Year,Death_Year,Portrait_URL,Nationality_1,Nationality_2,Nationality_3,Nationality_4,Nationality_img_1,Nationality_img_2,Nationality_img_3,Nationality_img_4,Flag_URL_1,Flag_URL_2,Flag_URL_3,Flag_URL_4
Chemistry,2024,Demis Hassabis,/imgs/Laureates/Demis_Hassabis_1976.jpg,for protein structure prediction,1976,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Demis_Hassabis_Royal_Society.jpg/120px-Demis_Hassabis_Royal_Society.jpg,British,,,,/imgs/Flags/40px-Flag_of_the_United_Kingdom.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/40px-Flag_of_the_United_Kingdom.svg.png,,,
Chemistry,2024,John M. Jumper,/imgs/Laureates/John_M_Jumper_1985.jpg,for protein structure prediction,1985,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/John_Jumper%2C_2024_Nobel_Prize_Laureate_in_Chemistry.jpg/120px-John_Jumper%2C_2024_Nobel_Prize_Laureate_in_Chemistry.jpg,American,,,,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,,,
Chemistry,2025,Susumu Kitagawa,/imgs/Laureates/Susumu_Kitagawa_1951.jpg,for the development of metal–organic frameworks,1951,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Susumu_Kitagawa_on_November_3%2C_2025.jpg/120px-Susumu_Kitagawa_on_November_3%2C_2025.jpg,Japanese,,,,/imgs/Flags/40px-Flag_of_Japan.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/40px-Flag_of_Japan.svg.png,,,
Chemistry,2025,Richard Robson,/imgs/Laureates/Richard_Robson_1937.jpg,for the development of metal–organic frameworks,1937,,https://cdn.britannica.com/67/278067-050-C9CA38A8/richard-robson-professor-university-of-melbourne-2025-nobel-prize-chemistry-metal-organic-frameworks.jpg,British,,,,/imgs/Flags/40px-Flag_of_the_United_Kingdom.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/40px-Flag_of_the_United_Kingdom.svg.png,,,
Chemistry,2025,Omar M. Yaghi,/imgs/Laureates/Omar_M_Yaghi_1965.jpg,for the development of metal–organic frameworks,1965,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Omar_Yaghi_413953_by_Christopher_Michel_1-7-2025.jpg/120px-Omar_Yaghi_413953_by_Christopher_Michel_1-7-2025.jpg,Jordanian,American,Saudi,,/imgs/Flags/40px-Flag_of_Jordan.svg.png,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,/imgs/Flags/40px-Flag_of_Saudi_Arabia.svg.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/40px-Flag_of_Jordan.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/40px-Flag_of_Saudi_Arabia.svg.png,
Economics,1969,Ragnar Frisch,/imgs/Laureates/Ragnar_Frisch_1895.jpg,for having developed and applied dynamic models for the analysis of economic processes,1895,1973,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Ragnar_Frisch_close-up_%28cropped%29.jpg/120px-Ragnar_Frisch_close-up_%28cropped%29.jpg,Norway,,,,/imgs/Flags/40px-Flag_of_Norway.svg.png,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/40px-Flag_of_Norway.svg.png,,,
Economics,1969,Jan Tinbergen,/imgs/Laureates/Jan_Tinbergen_1903.jpg,for having developed and applied dynamic models for the analysis of economic processes,1903,1994,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Jan_Tinbergen_close-up_%28cropped%29.jpg/120px-Jan_Tinbergen_close-up_%28cropped%29.jpg,Netherlands,,,,/imgs/Flags/40px-Flag_of_the_Netherlands.svg.png,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/40px-Flag_of_the_Netherlands.svg.png,,,
Economics,1970,Paul Samuelson,/imgs/Laureates/Paul_Samuelson_1915.gif,for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science,1915,2009,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Paul_Samuelson_close-up_%28cropped%29.gif/98px-Paul_Samuelson_close-up_%28cropped%29.gif,United States,,,,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,,,
Economics,1971,Simon Kuznets,/imgs/Laureates/Simon_Kuznets_1901.jpg,for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development,1901,1985,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Simon_Kuznets_close-up_%28cropped%29.jpg/120px-Simon_Kuznets_close-up_%28cropped%29.jpg,United States,,,,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,,,
Economics,1972,John Hicks,/imgs/Laureates/John_Hicks_1904.jpg,for their pioneering contributions to general economic equilibrium theory and welfare theory,1904,1989,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/John_Hicks_close-up_%28cropped%29.jpg/120px-John_Hicks_close-up_%28cropped%29.jpg,United Kingdom,,,,/imgs/Flags/40px-Flag_of_the_United_Kingdom.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/40px-Flag_of_the_United_Kingdom.svg.png,,,
